[21Feb2025 00:09:59.932] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Streeg11: Set the time to 13000]
[21Feb2025 00:15:31.128] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Streeg11: Set the time to 13000]
[21Feb2025 00:19:49.584] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: [Streeg11: Set the time to 13000]
[21Feb2025 00:22:44.979] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-35, y=87, z=402} BlockPos{x=-37, y=86, z=402}
[21Feb2025 00:33:49.632] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-41, y=68, z=395} BlockPos{x=-32, y=70, z=399}
[21Feb2025 00:34:09.477] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-39, y=66, z=401} BlockPos{x=-31, y=70, z=398}
[21Feb2025 00:34:25.529] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-23, y=69, z=396} BlockPos{x=-23, y=70, z=396}
[21Feb2025 00:35:49.478] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-35, y=67, z=395} BlockPos{x=-34, y=67, z=396}
[21Feb2025 00:37:14.135] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-32, y=66, z=394} BlockPos{x=-34, y=67, z=394}
[21Feb2025 00:38:22.085] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=67, z=393} BlockPos{x=-32, y=68, z=391}
[21Feb2025 00:38:22.132] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=67, z=393} BlockPos{x=-32, y=68, z=391}
[21Feb2025 00:38:22.177] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=67, z=393} BlockPos{x=-32, y=68, z=391}
[21Feb2025 00:38:22.226] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=67, z=393} BlockPos{x=-32, y=68, z=391}
[21Feb2025 00:38:22.284] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=67, z=393} BlockPos{x=-32, y=68, z=391}
[21Feb2025 00:38:22.333] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=67, z=393} BlockPos{x=-32, y=68, z=391}
[21Feb2025 00:38:22.379] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=67, z=393} BlockPos{x=-32, y=68, z=391}
[21Feb2025 00:38:22.428] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=67, z=393} BlockPos{x=-32, y=68, z=391}
[21Feb2025 00:38:22.480] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-36, y=67, z=393} BlockPos{x=-32, y=68, z=391}
[21Feb2025 00:39:52.627] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Streeg11 moved wrongly!
[21Feb2025 00:41:29.977] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-37, y=71, z=399} BlockPos{x=-38, y=71, z=400}
[21Feb2025 00:42:33.430] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-44, y=68, z=395} BlockPos{x=-43, y=68, z=396}
[21Feb2025 00:43:40.082] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-35, y=68, z=394} BlockPos{x=-35, y=67, z=394}
[21Feb2025 00:43:47.725] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-35, y=68, z=394} BlockPos{x=-35, y=67, z=391}
[21Feb2025 00:54:56.830] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=-34, y=66, z=400} BlockPos{x=-35, y=68, z=398}
[21Feb2025 01:04:06.798] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity realmrpg_demons:demon_lord but it was marked as removed already
[21Feb2025 01:08:55.702] [Server thread/WARN] [net.minecraft.server.level.ServerLevel/]: Tried to add entity realmrpg_demons:demon_lord but it was marked as removed already
[21Feb2025 01:14:05.922] [Server thread/INFO] [net.minecraft.world.entity.LivingEntity/]: Named entity Skeleton['Honeyed Archer'/103562, l='ServerLevel[world]', x=-154.35, y=58.85, z=398.78] died: Honeyed Archer suffocated in a wall
[21Feb2025 01:21:17.326] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Streeg11 has made the advancement [Alex's Mobs]
